fid,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,锡林郭勒盟,4.510186963,5.733510113,5.564971002,5.606704619,5.531822929,5.938650742,5.931120466,5.812652244,5.991395615,5.632794994,6.040711264,5.945852643,5.991549988,5.492753707,5.693277786,5.298258282,5.489257494
1, Bayan-Ulgii,3.267088732,3.409145667,3.592259035,3.430554422,3.419570159,3.541441851,3.215674942,2.987624187,3.214110457,3.754986808,4.263906935,3.673077816,3.394824914,2.948779995,2.486515876,2.277705267,2.110771634
2, Dornogovi,1.898651991,2.622409279,2.766001587,2.488145078,2.304708654,2.462863096,3.341903527,3.069398368,2.765858809,2.435640893,2.39854307,2.130831473,1.944825237,1.71891369,1.548929811,1.447204643,1.511449572
3, Umnugovi,0.058856136,0.073940925,0.095513538,0.099114008,0.090188637,0.087676465,0.086538642,0.076130592,0.066147318,0.063596083,0.091303121,0.079716159,0.070935399,0.062703321,0.056202416,0.05128889,0.045630224
4, Khentii,7.38688285,8.792958048,8.913258888,8.796894374,8.705875624,8.069755554,7.398653932,6.762813637,7.322526124,7.132333653,7.235004898,6.703317831,6.094634494,5.469106241,4.800513654,4.349191353,3.933939227
5, Arkhangai,2.747429777,3.669093969,3.955433576,4.026437272,3.930441193,3.608418826,3.228191222,2.868888891,2.540085517,2.357112523,3.098389821,2.783761281,2.480013165,2.202067561,2.009875693,1.81214509,1.643771919
6, Bayankhongor,2.196855505,3.253852999,5.146960031,4.480079021,3.997265708,3.574232488,3.101044346,2.681139378,2.412786276,2.370218388,3.052452549,2.781029991,2.394292574,2.108399329,1.816630498,1.668719668,1.482462458
7, Zavkhan,6.6865203,9.306364493,9.829843282,9.164030705,8.250931184,7.577742645,6.418461597,5.560617859,5.38578057,5.889921875,9.522017845,8.286102056,7.322238422,6.531285387,5.698025327,5.202342703,4.743043419
8, Govi-Altai,0.901650097,1.061985138,1.63872447,1.430963644,1.250568255,1.100747035,0.959738889,0.869646636,0.864826042,0.962628461,1.413209143,1.074998341,1.059856685,1.000819591,0.885755831,0.816847963,0.666269596
9, Khovd,1.607991683,2.024275144,2.40598212,2.189427928,1.945728626,1.785874088,1.5707019,1.427731865,1.479967981,1.61598659,2.115475167,1.984430565,1.778172775,1.608957051,1.374257921,1.237664384,1.087618608
10, Khuvsgul,4.049202238,5.812567319,5.710840281,5.61717405,5.392742669,5.148650414,4.579458103,4.1222796,3.810069127,3.711371889,4.469047294,4.285480663,4.026169213,4.020918267,3.536124057,3.297416682,2.884813647
11, Uvs,3.658221718,3.889245637,4.222232486,3.902155535,3.466320194,3.343046627,2.937280352,2.712478438,2.912625092,3.169624472,4.331899535,3.886985149,3.49026928,3.158182764,2.738618637,2.554025753,2.477286139
12, Bulgan,3.654745681,4.227740361,4.619276796,6.115502399,5.890866838,5.263848315,4.570441685,3.927313942,3.353327252,3.093653569,3.37307127,3.297433806,3.035185852,2.762406864,2.410955035,2.311320163,2.175295555
13, Orkhon,0.295772189,0.317849913,0.341157195,0.474070653,0.479836289,0.474506959,0.428756589,0.390205463,0.343385163,0.361222882,0.498654332,0.485096737,0.450752463,0.462278779,0.628828893,0.624915464,0.530767751
14, Dundgovi,1.591570523,1.585195759,1.523349543,1.442172695,1.30652037,1.284382492,1.290849444,1.206347696,1.301547966,1.256901064,2.238350142,1.895986052,1.537862178,1.293517274,1.06026964,0.927040344,0.83417223
15, Selenge,7.481432441,7.854524148,7.769569837,9.362467214,9.767587918,9.265867651,7.8882145,6.206577847,4.64705769,4.250327646,4.81007415,4.686459489,4.495196466,4.334909627,3.841190794,3.751179038,3.44560855
